License plate,Frame no.,Timestamp(seconds)
XS-NB-23,0,0.0
98-THD-4,42,3.5
23-GSX-6,77,6.416666666666666
72-VGX-6,112,9.333333333333332
99-SZG-5,147,12.25
14-NJK-9,182,15.166666666666666
24-LB-HT,217,18.083333333333332
68-NS-ND,252,21.0
97-FB-FP,294,24.5
67-FP-SJ,329,27.416666666666664
96-LKH-9,364,30.333333333333332
56-JTT-5,399,33.25
88-BB-TS,434,36.166666666666664
ZD-PB-67,504,42.0
92-GS-VH,546,45.5
92-GS-VR,553,46.08333333333333
02-BBG-7,581,48.416666666666664
73-PV-HB,616,51.33333333333333
93-PXS-9,672,56.0
RP-NL-93,686,57.166666666666664
NP-NL-93,693,57.75
43-HNN-2,721,60.08333333333333
43-JS-RT,756,63.0
63-HK-HD,798,66.5
92-LHR-6,833,69.41666666666666
92-LBR-6,854,71.16666666666666
3-VFX-39,903,75.25
01-XJ-ND,938,78.16666666666666
96-ND-JB,973,81.08333333333333
57-LF-JB,1008,84.0
S-7-LFJB,1015,84.58333333333333
VD-020-P,1050,87.5
5-SXB-74,1085,90.41666666666666
SS-XB-74,1106,92.16666666666666
23-GSR-5,1141,95.08333333333333
23-GS-RS,1162,96.83333333333333
27-LH-TB,1197,99.75
XH-PN-44,1260,105.0
01-RHD-6,1295,107.91666666666666
69-GR-DH,1344,112.0
64-LJ-GF,1379,114.91666666666666
41-GFZ-8,1421,118.41666666666666
28-RXT-9,1470,122.5
89-LZ-GX,1519,126.58333333333333
05-GH-JS,1624,135.33333333333331
0--SGHJS,1631,135.91666666666666
05-GB-JS,1638,136.5
25-XV-LX,1659,138.25
B-8-XPFS,1701,141.75
88-XP-FS,1708,142.33333333333331
